Year,Total population,Population aged 0–14 (%),Population aged 15–64 (%),Population aged 65+ (%)
2005,35 615 000,42.7,54.5,2.8
2010,40 513 000,42.5,54.9,2.7
2019,47 564 296,39.0,57.1,3.9
1950,6 077 000,39.8,56.3,3.9
1955,6 980 000,42.8,53.4,3.8
1960,8 105 000,46.4,49.9,3.7
1965,9 505 000,48.4,48.0,3.6
1970,11 252 000,49.1,47.5,3.4
1975,13 486 000,49.6,47.1,3.3
1980,16 268 000,50.0,47.1,3.0
1985,19 655 000,50.0,47.2,2.8
1990,23 447 000,49.0,48.3,2.7
1995,27 426 000,46.5,50.8,2.7
2000,31 254 000,44.3,52.9,2.8
2005,35 615 000,42.7,54.5,2.8
2010,40 513 000,42.5,54.9,2.7
2019,47 564 296,39.0,57.1,3.9
1950,6 077 000,39.8,56.3,3.9
1955,6 980 000,42.8,53.4,3.8
1960,8 105 000,46.4,49.9,3.7
1965,9 505 000,48.4,48.0,3.6
1970,11 252 000,49.1,47.5,3.4
1975,13 486 000,49.6,47.1,3.3
1980,16 268 000,50.0,47.1,3.0
1985,19 655 000,50.0,47.2,2.8
1990,23 447 000,49.0,48.3,2.7
1995,27 426 000,46.5,50.8,2.7
2000,31 254 000,44.3,52.9,2.8
2005,35 615 000,42.7,54.5,2.8
2010,40 513 000,42.5,54.9,2.7
2019,47 564 296,39.0,57.1,3.9
1950,6 077 000,39.8,56.3,3.9
1955,6 980 000,42.8,53.4,3.8
1960,8 105 000,46.4,49.9,3.7
1965,9 505 000,48.4,48.0,3.6
1970,11 252 000,49.1,47.5,3.4
1975,13 486 000,49.6,47.1,3.3
1980,16 268 000,50.0,47.1,3.0
1985,19 655 000,50.0,47.2,2.8
1990,23 447 000,49.0,48.3,2.7
1995,27 426 000,46.5,50.8,2.7
2000,31 254 000,44.3,52.9,2.8
2005,35 615 000,42.7,54.5,2.8
2010,40 513 000,42.5,54.9,2.7
2019,47 564 296,39.0,57.1,3.9
